Country,Code,Meningitis,Alzheimer's disease and other dementias,Parkinson's disease,Nutritional deficiencies,Malaria,Drowning,Interpersonal violence,Maternal disorders,HIV/AIDS,Drug use disorders,Tuberculosis,Cardiovascular diseases,Lower respiratory infections,Neonatal disorders,Alcohol use disorders,Self-harm,Exposure to forces of nature,Diarrheal diseases,Environmental heat and cold exposure,Neoplasms,Conflict and terrorism,Diabetes mellitus,Chronic kidney disease,Poisonings,Protein-energy malnutrition,Road injuries,Chronic respiratory diseases,Cirrhosis and other chronic liver diseases,Digestive diseases,"Fire, heat, and hot substances",Acute hepatitis
Saint Lucia,LCA,2,41,12,6,0,9,32,2,7,1,4,446,54,16,9,13,0,4,0,304,0,130,71,0,5,26,59,33,58,3,0
Saint Vincent and the Grenadines,VCT,1,22,7,8,0,7,23,1,20,0,3,355,39,13,8,8,0,4,0,208,0,107,46,0,7,10,20,19,42,3,0
Samoa,WSM,2,28,10,4,0,13,12,1,13,1,13,539,63,17,2,25,0,11,1,155,0,124,61,1,4,33,105,30,55,2,1
San Marino,SMR,0,20,3,0,0,0,0,0,1,0,0,98,8,1,0,4,0,0,0,117,0,5,4,0,0,3,11,8,14,0,0
Sao Tome and Principe,STP,5,14,5,7,12,3,11,6,0,1,20,273,109,42,2,4,0,12,0,145,0,15,50,1,7,21,79,50,66,1,2
Saudi Arabia,SAU,180,1707,562,66,1,724,403,245,683,201,1301,45837,4699,1077,104,1791,12,330,11,13104,0,2989,6930,246,61,21316,3723,3763,4819,713,65
Senegal,SEN,1563,1246,334,425,6740,252,187,1767,1603,20,3732,15981,6793,9388,89,1126,0,6660,66,8211,2,2599,2447,217,396,1823,2763,2365,4374,283,107
Serbia,SRB,27,2567,840,20,0,100,203,7,48,72,128,63769,1571,172,376,1535,0,41,50,28444,0,3710,2517,35,11,729,3865,1401,4245,103,4
Seychelles,SYC,2,18,6,2,0,12,5,1,4,1,4,242,77,8,1,9,0,5,0,181,0,26,44,1,2,16,31,33,51,2,0
Sierra Leone,SLE,1630,485,136,1180,11717,307,148,1390,2798,10,2509,9009,7460,6765,49,491,7,3744,50,3801,0,1095,1036,178,1143,1493,1479,1192,2324,234,144
Singapore,SGP,5,1477,237,2,0,17,25,2,36,16,58,6810,3471,30,13,464,0,36,2,7001,0,179,758,3,1,168,750,253,592,13,1
Slovakia,SVK,20,1960,363,10,0,127,118,3,4,18,31,26796,1850,114,218,695,0,18,110,13901,0,831,758,25,8,427,1147,1694,2989,62,2
Slovenia,SVN,6,1337,206,2,0,20,19,1,2,28,13,7797,693,15,209,410,0,6,14,6336,0,357,261,6,1,136,639,569,1124,11,1
Solomon Islands,SLB,17,22,19,26,87,122,34,59,41,4,44,2285,479,112,13,144,0,238,3,650,0,432,89,22,25,156,347,133,192,20,10
Somalia,SOM,4672,506,141,7626,3899,880,2578,3046,3188,23,20221,18521,20751,19725,143,1325,0,16718,249,7993,1686,2620,1878,618,7476,3476,3992,3790,6018,621,967
South Africa,ZAF,2221,6603,1300,2101,464,1511,19122,1379,143851,115,19785,82661,28941,17138,582,7864,68,13500,421,54803,38,27471,12353,511,2037,19239,17827,5824,13356,2179,124
South Korea,KOR,77,18451,3730,318,2,691,746,38,138,119,3154,77481,15635,541,997,14575,0,991,301,104176,0,12862,7979,212,122,6882,15506,10356,17385,557,28
South Sudan,SSD,1968,456,97,2180,5109,233,874,673,4391,10,4387,7114,7714,8935,54,419,110,6898,73,4140,470,1143,933,166,2139,991,1331,1707,2713,259,191
Spain,ESP,155,29208,6137,467,0,425,335,15,679,728,378,131493,14184,483,429,3759,0,1213,59,125835,1,10135,14645,108,302,2570,36560,8218,23212,239,14
Sri Lanka,LKA,297,4141,858,163,0,928,768,104,38,134,873,46577,4699,1073,398,4425,0,1019,49,18724,282,13273,5560,64,148,3309,13597,4369,5350,363,23
Sudan,SDN,662,2815,710,795,2337,1256,626,2413,5155,380,1110,74371,7026,21418,100,2029,0,6732,59,17100,101,2818,4754,612,725,7349,7191,4100,6314,1110,1083
Suriname,SUR,7,109,25,15,0,28,49,11,100,3,10,1423,163,131,16,145,0,38,1,716,0,267,262,2,13,102,117,127,251,12,1
Sweden,SWE,31,5637,1258,127,0,93,120,3,20,485,79,36087,2846,125,364,1369,0,742,59,26480,0,2069,1999,33,107,368,4478,1069,3226,89,3
Switzerland,CHE,27,5138,967,95,0,52,54,4,37,212,39,23969,1946,148,277,1171,4,252,11,20248,0,1394,2218,10,76,338,3074,1065,2972,39,4
Syria,SYR,214,1592,434,92,0,137,300,50,14,153,80,45682,2284,1086,61,320,0,117,22,8784,6900,1844,2661,74,65,1901,3249,2024,2596,147,12
Taiwan,TWN,105,8755,2050,126,0,508,343,19,171,518,905,41061,13067,334,415,4299,0,131,25,56953,0,11324,8248,78,116,3905,9969,7287,11756,144,10
Tajikistan,TJK,125,446,217,25,0,621,234,55,60,24,743,21856,3279,2720,147,464,0,820,12,5368,0,1655,405,41,2,705,1669,2188,2657,259,71
Tanzania,TZA,3765,3644,754,6887,17014,1270,3462,5506,27125,193,20170,54489,32990,39594,350,3231,0,15742,242,31417,19,8430,6232,1020,6613,5824,7001,8547,14522,1198,637
Thailand,THA,1037,21553,4082,992,1,4519,4035,282,17215,486,7775,115830,31037,1692,634,7107,7,6211,44,115544,60,19570,27446,155,934,19541,23925,19603,32635,687,193
Timor,TLS,31,102,31,65,0,69,37,62,238,2,299,2459,601,524,7,63,0,235,2,824,0,191,233,4,58,159,516,210,431,13,6
Togo,TGO,625,400,111,237,5436,147,559,551,3448,18,2124,8361,4356,4518,53,591,0,5848,38,3832,0,1046,1004,104,220,1453,1332,1272,2330,153,86
Tokelau,TKL,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,1,1,0,0,0,1,0,0,0,0
Tonga,TON,5,18,5,4,0,5,2,2,2,0,5,178,34,12,1,5,0,3,0,127,0,82,32,1,3,10,42,19,37,3,4
Trinidad and Tobago,TTO,11,335,73,26,0,37,316,7,206,10,20,4016,274,125,32,155,0,25,1,2017,0,1833,618,2,25,186,271,188,465,21,1
Tunisia,TUN,85,2547,485,29,0,128,78,55,148,158,121,35007,1838,894,34,410,0,121,8,10110,15,1823,2634,85,22,2473,2649,1367,2175,211,87
Turkey,TUR,351,19721,3838,1043,0,694,1605,284,226,345,833,176663,14868,6943,240,2585,0,732,44,104816,309,19699,19193,453,688,7749,32981,7349,14116,419,130
Turkmenistan,TKM,52,582,108,11,0,129,214,55,105,66,437,18323,1284,1113,180,440,0,75,136,3636,0,759,712,37,6,284,442,2381,2749,116,43
Tuvalu,TUV,0,2,1,0,0,1,1,0,1,0,1,42,5,1,0,2,0,1,0,14,0,11,5,0,0,3,7,2,4,0,0
